,title,year,vote_count,vote_average,popularity,imdb_id,poster_path,wr,genre
0,Toy Story,1995,5415,7,21.946943,tt0114709,/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,6.9890487217511135,Animation
0,Toy Story,1995,5415,7,21.946943,tt0114709,/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,6.9890487217511135,Comedy
0,Toy Story,1995,5415,7,21.946943,tt0114709,/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,6.9890487217511135,Family
1,Jumanji,1995,2413,6,17.015539,tt0113497,/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg,5.989508167070626,Adventure
1,Jumanji,1995,2413,6,17.015539,tt0113497,/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg,5.989508167070626,Fantasy
1,Jumanji,1995,2413,6,17.015539,tt0113497,/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg,5.989508167070626,Family
2,Grumpier Old Men,1995,92,6,11.7129,tt0113228,/6ksm1sjKMFLbO7UY2i6G1ju9SML.jpg,5.796241943030328,Romance
2,Grumpier Old Men,1995,92,6,11.7129,tt0113228,/6ksm1sjKMFLbO7UY2i6G1ju9SML.jpg,5.796241943030328,Comedy
3,Waiting to Exhale,1995,34,6,3.859495,tt0114885,/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg,5.622448306203254,Comedy
3,Waiting to Exhale,1995,34,6,3.859495,tt0114885,/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg,5.622448306203254,Drama
3,Waiting to Exhale,1995,34,6,3.859495,tt0114885,/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg,5.622448306203254,Romance
4,Father of the Bride Part II,1995,173,5,8.387519000000001,tt0113041,/e64sOI48hQXyru7naBFyssKFxVd.jpg,5.040224564356625,Comedy
5,Heat,1995,1886,7,17.924927,tt0113277,/zMyfPUelumio3tiDKPffaUpsQTD.jpg,6.968920044178032,Action
5,Heat,1995,1886,7,17.924927,tt0113277,/zMyfPUelumio3tiDKPffaUpsQTD.jpg,6.968920044178032,Crime
5,Heat,1995,1886,7,17.924927,tt0113277,/zMyfPUelumio3tiDKPffaUpsQTD.jpg,6.968920044178032,Drama
5,Heat,1995,1886,7,17.924927,tt0113277,/zMyfPUelumio3tiDKPffaUpsQTD.jpg,6.968920044178032,Thriller
6,Sabrina,1995,141,6,6.677277,tt0114319,/jQh15y5YB7bWz1NtffNZmRw0s9D.jpg,5.8532941989818355,Comedy
6,Sabrina,1995,141,6,6.677277,tt0114319,/jQh15y5YB7bWz1NtffNZmRw0s9D.jpg,5.8532941989818355,Romance
7,Tom and Huck,1995,45,5,2.561161,tt0112302,/sGO5Qa55p7wTu7FJcX4H4xIVKvS.jpg,5.105398542048372,Action
7,Tom and Huck,1995,45,5,2.561161,tt0112302,/sGO5Qa55p7wTu7FJcX4H4xIVKvS.jpg,5.105398542048372,Adventure
7,Tom and Huck,1995,45,5,2.561161,tt0112302,/sGO5Qa55p7wTu7FJcX4H4xIVKvS.jpg,5.105398542048372,Drama
7,Tom and Huck,1995,45,5,2.561161,tt0112302,/sGO5Qa55p7wTu7FJcX4H4xIVKvS.jpg,5.105398542048372,Family
8,Sudden Death,1995,174,5,5.23158,tt0114576,/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg,5.040031177027987,Action
8,Sudden Death,1995,174,5,5.23158,tt0114576,/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg,5.040031177027987,Adventure
8,Sudden Death,1995,174,5,5.23158,tt0114576,/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg,5.040031177027987,Thriller
9,GoldenEye,1995,1194,6,14.686035999999998,tt0113189,/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,5.979093228682264,Adventure
9,GoldenEye,1995,1194,6,14.686035999999998,tt0113189,/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,5.979093228682264,Action
9,GoldenEye,1995,1194,6,14.686035999999998,tt0113189,/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,5.979093228682264,Thriller
10,The American President,1995,199,6,6.318445,tt0112346,/lymPNGLZgPHuqM29rKMGV46ANij.jpg,5.889813239578634,Comedy
10,The American President,1995,199,6,6.318445,tt0112346,/lymPNGLZgPHuqM29rKMGV46ANij.jpg,5.889813239578634,Drama
10,The American President,1995,199,6,6.318445,tt0112346,/lymPNGLZgPHuqM29rKMGV46ANij.jpg,5.889813239578634,Romance
11,Dracula: Dead and Loving It,1995,210,5,5.430331,tt0112896,/xve4cgfYItnOhtzLYoTwTVy5FGr.jpg,5.03412493779435,Comedy
11,Dracula: Dead and Loving It,1995,210,5,5.430331,tt0112896,/xve4cgfYItnOhtzLYoTwTVy5FGr.jpg,5.03412493779435,Horror
12,Balto,1995,423,7,12.140733,tt0112453,/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg,6.869423380354094,Family
12,Balto,1995,423,7,12.140733,tt0112453,/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg,6.869423380354094,Animation
12,Balto,1995,423,7,12.140733,tt0112453,/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg,6.869423380354094,Adventure
13,Nixon,1995,72,7,5.092,tt0113987,/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg,6.437042309639825,History
13,Nixon,1995,72,7,5.092,tt0113987,/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg,6.437042309639825,Drama
14,Cutthroat Island,1995,137,5,7.284477000000001,tt0112760,/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,5.048692893694862,Action
14,Cutthroat Island,1995,137,5,7.284477000000001,tt0112760,/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,5.048692893694862,Adventure
15,Casino,1995,1343,7,10.137389,tt0112641,/xo517ibXBDdYQY81j0WIG7BVcWq.jpg,6.95666411388658,Drama
15,Casino,1995,1343,7,10.137389,tt0112641,/xo517ibXBDdYQY81j0WIG7BVcWq.jpg,6.95666411388658,Crime
16,Sense and Sensibility,1995,364,7,10.673167,tt0114388,/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg,6.8500665447784455,Drama
16,Sense and Sensibility,1995,364,7,10.673167,tt0114388,/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg,6.8500665447784455,Romance
17,Four Rooms,1995,539,6,9.026586,tt0113101,/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg,5.955194563388868,Crime
17,Four Rooms,1995,539,6,9.026586,tt0113101,/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg,5.955194563388868,Comedy
18,Ace Ventura: When Nature Calls,1995,1128,6,8.205447999999999,tt0112281,/wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg,5.97790575285871,Crime
